object_name,shape,color,material,functionality,print_or_design,object_category
Apple_25,spherical,red,organic,nutrition,polka dots,apple
Apple_6,spherical,red,organic,nutrition,,apple
BaseballBat_2,cylindrical,brown,wood,playing,,baseballbat
Book_12,cuboidal,blue,paper,reading,image,book
Book_25,cuboidal,multicolored,paper,reading,image,book
Bowl_13,concave,gray,ceramic,serving,,bowl
Bread_10,cuboidal,brown,flour,nutrition,,bread
Bread_20,oval,brown,flour,nutrition,,bread
Bread_23,concave,brown,flour,nutrition,,bread
Bread_27,oval,brown,flour,nutrition,,bread
Bread_3,cuboidal,brown,flour,nutrition,,bread
ButterKnife_1,other,silver,metal,cutting,,knife
Candle_3,cylindrical,gold and yellow,wax and metal,lighting,,candle
Cellphone_8,cuboidal,red and black,plastic,calling,,cellphone
CreditCard_2,rectangular,blue,plastic,payment,text,credit_card
Dish_Sponge_1,cuboidal,yellow and green,sponge,cleaning,,sponge
Dog_Statue_Master,animal,green,plastic,decoration,,statue
Keychain_1,other,silver and red,metal,unlocking,,keychain
Knife_1,other,silver and gold,metal,cutting,,knife
Ladle_2,other,silver and black,metal,serving,,ladle
Laptop_15,rectangular,silver,metal,computing,,laptop
Laptop_5,rectangular,black,metal,computing,logo,laptop
Pan_13,concave,bronze and black,metal,cooking,,pan
Pan_15,concave,silver and bronze,metal,cooking,circular pattern,pan
Pan_2,concave,silver and black,metal,cooking,circular pattern,pan
Pen_2,cylindrical,blue and black,plastic,writing,circular pattern,pen
Plate_10,square,brown,ceramic,serving,circular pattern,plate
Plate_11,square,blue,ceramic,serving,square pattern,plate
Plate_23,square,brown,ceramic,serving,circular pattern,plate
Plate_25,circular,brown,ceramic,serving,circular pattern,plate
Potato_10,oval,brown,organic,nutrition,,potato
Potato_26,spherical,brown,organic,nutrition,,potato
Potato_5,oval,brown,organic,nutrition,,potato
Soap_Bottle_11,cuboidal,bronze and green,glass and plastic,cleaning,,soap_dispenser
Soap_Bottle_19,other,blue and bronze,glass and plastic,cleaning,,soap_dispenser
Soap_Bottle_8,other,peach and bronze,metal and plastic,cleaning,,soap_dispenser
Spray_Bottle_2,other,green and white,plastic,cleaning,,spray_bottle
Tennis_Racquet_4,other,black and orange,metal,playing,,tennis_racquet
Tomato_19,spherical,red,organic,nutrition,,tomato
Tomato_23,spherical,red,organic,nutrition,,tomato
Tomato_28,spherical,red,organic,nutrition,,tomato
Tomato_3,spherical,red,organic,nutrition,,tomato
Tomato_7,spherical,red,organic,nutrition,,tomato
Towel_Statue_1,human,bronze,metal,decoration,,statue
Waving_Statue_2,human,green,stone,decoration,,statue
B00TS18AEA,cuboidal,black,plastic,charging,text,battery_charger
B00WRDRRWW,other,black,metal,elevation,logo,laptop_stand
B01IJ5A0PC,other,silver,metal,support,,phone_stand
B01IJ5A2UA,other,black,metal,support,,phone_stand
B06X3W3YQD,rectangular,black,fabric,padding,logo,mouse_pad
B074DZ65J3,other,black and silver,rubber,exercising,text,dumbbell
B074DZ6NJB,other,black and silver,rubber,exercising,text,dumbbell
B074DZFKH6,other,black and silver,rubber,exercising,text,dumbbell
B075HR7LD2,cylindrical,white and brown,stone,decoration,,candle_holder
B076YL2CTT,cuboidal,gray and black,plastic,connection,text,multiport_hub
B076YRSWGW,cuboidal,black and blue,plastic,connection,text,multiport_hub
B076YRSWH3,cuboidal,black and blue,plastic,connection,text,multiport_hub
B07HK3PNSK,other,yellow and black,metal,lighting,,lamp
B07M6PJ66Q,cylindrical,yellow and red,stone,storage,,canister
B07MBFDKYY,cylindrical,yellow and blue,stone,storage,,canister
B07MF1NJ7Q,cylindrical,yellow and yellow,stone,storage,circular pattern,canister
B07MF1SFKD,cylindrical,yellow,stone,storage,text,canister
3D_Dollhouse_Happy_Brother,human,yellow and blue,plastic,playing,,doll
ASICS_GELDirt_Dog_4_SunFlameBlack,other,orange and yellow,synthetic,running,stitching,shoe
ASICS_GELLinksmaster_WhiteRasberryGunmetal,other,gray and black,synthetic,running,stripes,shoe
ASICS_HyperRocketgirl_SP_5_WhiteMalibu_BlueBlack,other,white and blue,synthetic,running,stripes,shoe
Air_Hogs_Wind_Flyers_Set_Airplane_Red,other,red and gold,foam,playing,logo,toy_airplane
Android_Figure_Chrome,cylindrical,white,plastic,decoration,,android_figure
Android_Figure_Orange,cylindrical,orange,plastic,decoration,,android_figure
Android_Figure_Panda,cylindrical,white and black,plastic,decoration,,android_figure
Android_Lego,other,green,plastic,playing,brick pattern,android_figure
Arm_Hammer_Diaper_Pail_Refills_12_Pack_MFWkmoweejt,cuboidal,white and yellow,cardboard,packaging,graphics,box
BUNNY_RACER,other,brown and green,wood,playing,text,toy_animal
Beta_Glucan,cylindrical,blue and white,plastic,medication,text,bottle
Big_Dot_Aqua_Pencil_Case,cylindrical,blue and purple,fabric,storage,polka dots,pencil_case
Big_Dot_Pink_Pencil_Case,cylindrical,pink and brown,fabric,storage,polka dots,pencil_case
Big_O_Sponges_Assorted_Cellulose_12_pack,cuboidal,purple,sponge,cleaning,,sponge
BlackBlack_Nintendo_3DSXL,rectangular,black and blue,plastic,playing,,gaming_console
Blackcurrant_Lutein,cylindrical,purple and white,plastic,medication,label,bottle
CLIMACOOL_BOAT_BREEZE_IE6CyqSaDwN,other,black and white,synthetic,boating,stripes,shoe
CREATIVE_BLOCKS_35_MM,other,brown and red,wood,playing,,toy_construction_set
California_Navy_Tieks_Italian_Leather_Ballet_Flats,other,blue and white,fabric,ballet,,shoe
Canon_Pixma_Ink_Cartridge_8,cuboidal,white and red,cardboard,packaging,text,box
Central_Garden_Flower_Pot_Goo_425,conical,brown,ceramic,gardening,,plant_container
Cole_Hardware_Plant_Saucer_Glazed_9,circular,brown,ceramic,gardening,,plant_saucer
Cole_Hardware_Saucer_Electric,circular,pink,ceramic,gardening,,plant_saucer
Corningware_CW_by_Corningware_3qt_Oblong_Casserole_Dish_Blue,rectangular,blue,ceramic,cooking,,casserole
Crayola_Crayons_24_count,cuboidal,yellow and green,cardboard,packaging,graphics,box
Crayola_Model_Magic_Modeling_Material_White_3_oz,cuboidal,yellow and green,cardboard,packaging,graphics,box
Crosley_Alarm_Clock_Vintage_Metal,cylindrical,bronze and yellow,metal,timekeeping,text,clock
DPC_Handmade_Hat_Brown,cylindrical,black,fabric,sun protection,,hat
Deskstar_Desk_Top_Hard_Drive_1_TB,cuboidal,white and gray,cardboard,packaging,graphics,box
Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g,cylindrical,brown and cream,metal,storage,label,can
Ecoforms_Plant_Plate_S11Turquoise,concave,blue,plastic,gardening,,plant_saucer
Ecoforms_Plant_Pot_GP9AAvocado,cylindrical,green,plastic,gardening,,plant_container
Ecoforms_Plant_Saucer_S14NATURAL,concave,brown,plastic,gardening,,plant_saucer
Ecoforms_Quadra_Saucer_SQ1_Avocado,rectangular,green,plastic,gardening,,plant_saucer
Elephant,animal,gray,fabric,playing,,stuffed_toy
Epson_DURABrite_Ultra_786_Black_Ink_Cartridge_T786120S,cuboidal,white and gray,cardboard,packaging,graphics,box
FRACTION_FUN_n4h4qte23QR,other,multicolored,plastic,playing,geometric pattern,board_game
Fisher_price_Classic_Toys_Buzzy_Bee,other,multicolored,plastic,playing,bee pattern,toy_bee
